valor_original,valor_normalizado,raw_norm,stripped,codigo_dane_sugerido,nombre_dane_sugerido,departamento_sugerido,metodo_nuevo,confianza_nueva,estado_revision,motivo,top_1_codigo,top_1_nombre,top_1_departamento,top_1_score_nuevo,top_2_codigo,top_2_nombre,top_2_departamento,top_2_score_nuevo,top_3_codigo,top_3_nombre,top_3_departamento,top_3_score_nuevo,raw_norm_2,departamento_detectado,texto_sin_departamento,core_filtrado_2,estado_final_2,codigo_dane_final_2,nombre_dane_final_2,departamento_final_2,metodo_final_2,confianza_final_2,motivo_final_2,final_top_1_codigo,final_top_1_nombre,final_top_1_departamento,final_top_1_score,final_top_1_alias,final_top_2_codigo,final_top_2_nombre,final_top_2_departamento,final_top_2_score,final_top_2_alias,final_top_3_codigo,final_top_3_nombre,final_top_3_departamento,final_top_3_score,final_top_3_alias
ANDES ANT,ANDES ANT,ANDES ANT,ANDES ANT,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,5034,ANDES,ANTIOQUIA,71.43,23672,SAN ANTERO,CÓRDOBA,63.16,73275,FLANDES,TOLIMA,62.5,AN DES ANT,,AN DES ANT,AN DES ANT,PENDIENTE,,,,,,"mejor fuzzy insuficiente (75.00, margen 8.33)",52418,LOS ANDES,NARIÑO,75.0,AN DES,47707,SANTA ANA,MAGDALENA,63.16,SANTA ANA,17433,MANZANARES,CALDAS,60.0,MANZANARES
ANSERMANUEVO VALLLE,ANSERMANUEVO VALLLE,ANSERMANUEVO VALLLE,ANSERMANUEVO VALLLE,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,76041,ANSERMANUEVO,VALLE DEL CAUCA,77.42,17042,ANSERMA,CALDAS,53.85,15494,NUEVO COLÓN,BOYACÁ,46.67,ANSERMANUEVO VALLLE,,ANSERMANUEVO VALLLE,ANSERMANUEVO VALLLE,PENDIENTE,,,,,,"mejor fuzzy insuficiente (77.42, margen 23.57)",76041,ANSERMANUEVO,VALLE DEL CAUCA,77.42,ANSERMANUEVO,73854,VALLE DE SAN JUAN,TOLIMA,66.67,VALLE SAN JUAN,86865,VALLE DEL GUAMUEZ,PUTUMAYO,62.5,VALLE GUAMUEZ
ANTONIO NARIÑO,ANTONIO NARINO,ANTONIO NARINO,ANTONIO,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,73675,SAN ANTONIO,TOLIMA,77.78,5040,ANORÍ,ANTIOQUIA,66.67,5656,SAN JERÓNIMO,ANTIOQUIA,63.16,ANTONIO NARINO,NARINO,ANTONIO,ANTONIO,PENDIENTE,,,,,,mejor fuzzy contradice departamento detectado,73675,SAN ANTONIO,TOLIMA,77.78,SAN ANTONIO,05040,ANORÍ,ANTIOQUIA,66.67,ANORI,86760,SANTIAGO,PUTUMAYO,66.67,SANTIAGO
APARTADO - ANTIQUIA,APARTADO ANTIQUIA,APARTADO ANTIQUIA,APARTADO ANTIQUIA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,5042,SANTA FÉ DE ANTIOQUIA,ANTIOQUIA,68.42,5045,APARTADÓ,ANTIOQUIA,64.0,23350,LA APARTADA,CÓRDOBA,57.14,APARTADO ANTIQUIA,,APARTADO ANTIQUIA,APARTADO ANTIQUIA,PENDIENTE,,,,,,"mejor fuzzy insuficiente (68.57, margen 4.57)",05042,SANTA FÉ DE ANTIOQUIA,ANTIOQUIA,68.57,SANTA FE ANTIOQUIA,05045,APARTADÓ,ANTIOQUIA,64.0,APARTADO,23350,LA APARTADA,CÓRDOBA,56.0,APARTADA
APARTADO ANTOQUIA,APARTADO ANTOQUIA,APARTADO ANTOQUIA,APARTADO ANTOQUIA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,5042,SANTA FÉ DE ANTIOQUIA,ANTIOQUIA,68.42,5045,APARTADÓ,ANTIOQUIA,64.0,23350,LA APARTADA,CÓRDOBA,57.14,APARTADO ANTOQUIA,,APARTADO ANTOQUIA,APARTADO ANTOQUIA,PENDIENTE,,,,,,"mejor fuzzy insuficiente (68.57, margen 4.57)",05042,SANTA FÉ DE ANTIOQUIA,ANTIOQUIA,68.57,SANTA FE ANTIOQUIA,05045,APARTADÓ,ANTIOQUIA,64.0,APARTADO,23350,LA APARTADA,CÓRDOBA,56.0,APARTADA
ARENAL SUR DE BOLIVAR,ARENAL SUR DE BOLIVAR,ARENAL SUR DE BOLIVAR,ARENAL SUR DE,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,13042,ARENAL,BOLÍVAR,67.16,13688,SANTA ROSA DEL SUR,BOLÍVAR,55.61,13001,CARTAGENA DE INDIAS,BOLÍVAR,54.0,ARENAL SUR DE BOLIVAR,BOLIVAR,ARENAL SUR DE,ARENAL SUR,PENDIENTE,,,,,,"mejor fuzzy insuficiente (83.00, margen 16.67)",13042,ARENAL,BOLÍVAR,83.0,ARENAL,13688,SANTA ROSA DEL SUR,BOLÍVAR,66.33,SANTA ROSA SUR,13001,CARTAGENA DE INDIAS,BOLÍVAR,61.85,CARTAGENA INDIAS
ARIGUANI- EL DIFICIL MAGDALENA,ARIGUANI EL DIFICIL MAGDALENA,ARIGUANI EL DIFICIL MAGDALENA,ARIGUANI EL DIFICIL,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,47058,ARIGUANÍ,MAGDALENA,63.26,25001,AGUA DE DIOS,CUNDINAMARCA,58.06,44420,LA JAGUA DEL PILAR,LA GUAJIRA,54.05,ARIGUANI EL DIFICIL MAGDALENA,MAGDALENA,ARIGUANI EL DIFICIL,ARIGUANI DIFICIL,PENDIENTE,,,,,,"mejor fuzzy insuficiente (74.67, margen 18.67)",47058,ARIGUANÍ,MAGDALENA,74.67,ARIGUANI,25001,AGUA DE DIOS,CUNDINAMARCA,56.0,AGUA DIOS,85010,AGUAZUL,CASANARE,52.17,AGUACAL
ARIONA BOLIVAR,ARIONA BOLIVAR,ARIONA BOLIVAR,ARIONA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,13052,ARJONA,BOLÍVAR,87.33,5150,CAROLINA,ANTIOQUIA,71.43,13042,ARENAL,BOLÍVAR,70.67,ARIONA BOLIVAR,BOLIVAR,ARIONA,ARIONA,PENDIENTE,,,,,,"mejor fuzzy insuficiente (91.33, margen 16.67)",13052,ARJONA,BOLÍVAR,91.33,ARJONA,13042,ARENAL,BOLÍVAR,74.67,ARENAL,05150,CAROLINA,ANTIOQUIA,71.43,CAROLINA
ARMENIA Q7UINDIO,ARMENIA Q7UINDIO,ARMENIA Q7UINDIO,ARMENIA Q7UINDIO,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,5059,ARMENIA,ANTIOQUIA,60.87,63001,ARMENIA,QUINDÍO,60.87,5004,ABRIAQUÍ,ANTIOQUIA,58.33,ARMENIA Q7UINDIO,,ARMENIA Q7UINDIO,ARMENIA Q7UINDIO,PENDIENTE,,,,,,"mejor fuzzy insuficiente (62.50, margen 1.63)",13001,CARTAGENA DE INDIAS,BOLÍVAR,62.5,CARTAGENA INDIAS,47545,PIJIÑO DEL CARMEN,MAGDALENA,62.07,PIJINO CARMEN,63001,ARMENIA,QUINDÍO,60.87,ARMENIA
ARMERO  GUAYABAL,ARMERO GUAYABAL,ARMERO GUAYABAL,ARMERO GUAYABAL,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,25335,GUAYABETAL,CUNDINAMARCA,64.0,73055,ARMERO,TOLIMA,57.14,52621,ROBERTO PAYÁN,NARIÑO,57.14,ARMERO GUAYABAL,,ARMERO GUAYABAL,ARMERO GUAYABAL,PENDIENTE,,,,,,"mejor fuzzy insuficiente (64.00, margen 4.00)",25335,GUAYABETAL,CUNDINAMARCA,64.0,GUAYABETAL,25328,GUAYABAL DE SÍQUIMA,CUNDINAMARCA,58.82,GUAYABAL DE SIQUIMA,73055,ARMERO,TOLIMA,57.14,ARMERO
