valor_original,valor_normalizado,raw_norm,stripped,codigo_dane_sugerido,nombre_dane_sugerido,departamento_sugerido,metodo_nuevo,confianza_nueva,estado_revision,motivo,top_1_codigo,top_1_nombre,top_1_departamento,top_1_score_nuevo,top_2_codigo,top_2_nombre,top_2_departamento,top_2_score_nuevo,top_3_codigo,top_3_nombre,top_3_departamento,top_3_score_nuevo
La Unión Valle del Cauca,LA UNION VALLE DEL CAUCA,LA UNION VALLE DEL CAUCA,LA UNION,76400,LA UNIÓN,VALLE DEL CAUCA,exact,97.00,AUTO_APROBADO,nombre ambiguo resuelto por departamento explicito en el texto,,,,,,,,,,,,
La Unión Valle del Cauca .,LA UNION VALLE DEL CAUCA,LA UNION VALLE DEL CAUCA,LA UNION,76400,LA UNIÓN,VALLE DEL CAUCA,exact,97.00,AUTO_APROBADO,nombre ambiguo resuelto por departamento explicito en el texto,,,,,,,,,,,,
La Unión – Valle del Cauca,LA UNION VALLE DEL CAUCA,LA UNION VALLE DEL CAUCA,LA UNION,76400,LA UNIÓN,VALLE DEL CAUCA,exact,97.00,AUTO_APROBADO,nombre ambiguo resuelto por departamento explicito en el texto,,,,,,,,,,,,
La Unión-Valle del Cauca,LA UNION VALLE DEL CAUCA,LA UNION VALLE DEL CAUCA,LA UNION,76400,LA UNIÓN,VALLE DEL CAUCA,exact,97.00,AUTO_APROBADO,nombre ambiguo resuelto por departamento explicito en el texto,,,,,,,,,,,,
PALMIRA,PALMIRA,PALMIRA,PALMIRA,76520,PALMIRA,VALLE DEL CAUCA,exact,100.00,AUTO_APROBADO,coincidencia exacta con municipio DANE unico,,,,,,,,,,,,
"PALMIRA , VALLE DEL CAUCA",PALMIRA VALLE DEL CAUCA,PALMIRA VALLE DEL CAUCA,PALMIRA,76520,PALMIRA,VALLE DEL CAUCA,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
PALMIRA - VALLE DEL CAUCA,PALMIRA VALLE DEL CAUCA,PALMIRA VALLE DEL CAUCA,PALMIRA,76520,PALMIRA,VALLE DEL CAUCA,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
PINCHOTE,PINCHOTE,PINCHOTE,PINCHOTE,68549,PINCHOTE,SANTANDER,exact,100.00,AUTO_APROBADO,coincidencia exacta con municipio DANE unico,,,,,,,,,,,,
Palmira,PALMIRA,PALMIRA,PALMIRA,76520,PALMIRA,VALLE DEL CAUCA,exact,100.00,AUTO_APROBADO,coincidencia exacta con municipio DANE unico,,,,,,,,,,,,
Palmira  Valle del Cauca,PALMIRA VALLE DEL CAUCA,PALMIRA VALLE DEL CAUCA,PALMIRA,76520,PALMIRA,VALLE DEL CAUCA,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
"Palmira ,",PALMIRA,PALMIRA,PALMIRA,76520,PALMIRA,VALLE DEL CAUCA,exact,100.00,AUTO_APROBADO,coincidencia exacta con municipio DANE unico,,,,,,,,,,,,
"Palmira , Valle del Cauca",PALMIRA VALLE DEL CAUCA,PALMIRA VALLE DEL CAUCA,PALMIRA,76520,PALMIRA,VALLE DEL CAUCA,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
Palmira Valle Del Cauca,PALMIRA VALLE DEL CAUCA,PALMIRA VALLE DEL CAUCA,PALMIRA,76520,PALMIRA,VALLE DEL CAUCA,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
"Palmira, Valle Del Cauca",PALMIRA VALLE DEL CAUCA,PALMIRA VALLE DEL CAUCA,PALMIRA,76520,PALMIRA,VALLE DEL CAUCA,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
Palmira-Valle Del Cauca,PALMIRA VALLE DEL CAUCA,PALMIRA VALLE DEL CAUCA,PALMIRA,76520,PALMIRA,VALLE DEL CAUCA,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
ROLDANILLO,ROLDANILLO,ROLDANILLO,ROLDANILLO,76622,ROLDANILLO,VALLE DEL CAUCA,exact,100.00,AUTO_APROBADO,coincidencia exacta con municipio DANE unico,,,,,,,,,,,,
ROLDANILLO  VALLE DEL CAUCA,ROLDANILLO VALLE DEL CAUCA,ROLDANILLO VALLE DEL CAUCA,ROLDANILLO,76622,ROLDANILLO,VALLE DEL CAUCA,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
ROLDANILLO - VALLE DEL CAUCA,ROLDANILLO VALLE DEL CAUCA,ROLDANILLO VALLE DEL CAUCA,ROLDANILLO,76622,ROLDANILLO,VALLE DEL CAUCA,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
ROLDANILLO -VALLE DEL CAUCA,ROLDANILLO VALLE DEL CAUCA,ROLDANILLO VALLE DEL CAUCA,ROLDANILLO,76622,ROLDANILLO,VALLE DEL CAUCA,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
ROLDANILLO- VALLE DEL CAUCA,ROLDANILLO VALLE DEL CAUCA,ROLDANILLO VALLE DEL CAUCA,ROLDANILLO,76622,ROLDANILLO,VALLE DEL CAUCA,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
Restrepo - Valle del Cauca,RESTREPO VALLE DEL CAUCA,RESTREPO VALLE DEL CAUCA,RESTREPO,76606,RESTREPO,VALLE DEL CAUCA,exact,97.00,AUTO_APROBADO,nombre ambiguo resuelto por departamento explicito en el texto,,,,,,,,,,,,
Restrepo Valle del Cauca,RESTREPO VALLE DEL CAUCA,RESTREPO VALLE DEL CAUCA,RESTREPO,76606,RESTREPO,VALLE DEL CAUCA,exact,97.00,AUTO_APROBADO,nombre ambiguo resuelto por departamento explicito en el texto,,,,,,,,,,,,
"Roldanillo , Valle del Cauca",ROLDANILLO VALLE DEL CAUCA,ROLDANILLO VALLE DEL CAUCA,ROLDANILLO,76622,ROLDANILLO,VALLE DEL CAUCA,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
"Roldanillo , Valle del Cauca ,",ROLDANILLO VALLE DEL CAUCA,ROLDANILLO VALLE DEL CAUCA,ROLDANILLO,76622,ROLDANILLO,VALLE DEL CAUCA,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
Roldanillo Valle del Cauca,ROLDANILLO VALLE DEL CAUCA,ROLDANILLO VALLE DEL CAUCA,ROLDANILLO,76622,ROLDANILLO,VALLE DEL CAUCA,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
"Roldanillo, Valle del Cauca",ROLDANILLO VALLE DEL CAUCA,ROLDANILLO VALLE DEL CAUCA,ROLDANILLO,76622,ROLDANILLO,VALLE DEL CAUCA,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
SAN  JOSE  DE  CUCUTA,SAN JOSE DE CUCUTA,SAN JOSE DE CUCUTA,SAN JOSE DE CUCUTA,54001,SAN JOSÉ DE CÚCUTA,NORTE DE SANTANDER,exact,100.00,AUTO_APROBADO,coincidencia exacta con municipio DANE unico,,,,,,,,,,,,
SAN JOSE  DE  CUCUTA,SAN JOSE DE CUCUTA,SAN JOSE DE CUCUTA,SAN JOSE DE CUCUTA,54001,SAN JOSÉ DE CÚCUTA,NORTE DE SANTANDER,exact,100.00,AUTO_APROBADO,coincidencia exacta con municipio DANE unico,,,,,,,,,,,,
