"","","","","","","","","","",""
"","Consejo Superior de la Judicatura","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","DIRECTORIO DE DESPACHOS JUDICIALES","","","","","","","","",""
"Consejo Superior de la Judicatura","","","","","","","","","",""
"Fecha: 25/03/2026 11:12:16 AM","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"JURISDICCIÓN","DISTRITO","CIRCUITO","DEPARTAMENTO","MUNICIPIO","CODIGO DESPACHO","NOMBRE DESPACHO","JUEZ/MAGISTRADO DESPACHO","DIRECCIÓN DESPACHO","TELÉFONO","ÁREA"
"ORDINARIA","ANTIOQUIA","ANTIOQUIA (O)","ANTIOQUIA","ANTIOQUIA","050003107003","JUZGADO 003 PENAL DE CIRCUITO ESPECIALIZADO DE ANTIOQUIA ","FRANCISCO ANTONIO DELGADO  BUILES","Carrera 52#42-73","-","JUDICIAL"
"ORDINARIA","ANTIOQUIA","ANTIOQUIA (O)","ANTIOQUIA","ANTIOQUIA","050003107004","JUZGADO 004 PENAL DE CIRCUITO ESPECIALIZADO DE ANTIOQUIA ","JAIME ALBERTO NANCLARES  QUINTERO","Carrera 52#43-50 - Piso 5 Edificio Alvarez Estrada Medellín - Ant.-.","4-","JUDICIAL"
"ORDINARIA","ANTIOQUIA","ANTIOQUIA (O)","ANTIOQUIA","ANTIOQUIA","050003107005","JUZGADO 005 PENAL DE CIRCUITO ESPECIALIZADO DE ANTIOQUIA ","MARIO FERNANDO  JARAMILLO CHAVARRIA","Carrera 52#42-73 - Piso 19 Of. 1917","4-","JUDICIAL"
"ORDINARIA","ANTIOQUIA","ANTIOQUIA (O)","ANTIOQUIA","ANTIOQUIA","050003107006","JUZGADO 006 PENAL DE CIRCUITO ESPECIALIZADO DE ANTIOQUIA ","DIANA LUCIA MONSALVE HERNANDEZ","Carrera 52#43-50 - Piso 1, Oficina 101 Medellin","4-2328525","JUDICIAL"
"ORDINARIA","ANTIOQUIA","ANTIOQUIA (O)","ANTIOQUIA","ANTIOQUIA","050003107007","JUZGADO 007 PENAL DE CIRCUITO ESPECIALIZADO DE ANTIOQUIA ","CAROLINA PULGARIN CANO","Carrera 52#43-52 - Edificio Alvarez Estrada","4-4734567","JUDICIAL"
"ORDINARIA","ANTIOQUIA","ANTIOQUIA (O)","ANTIOQUIA","ANTIOQUIA","050003120001","JUZGADO 001 PENAL DEL CIRCUITO ESPECIALIZADO  EN EXTINCIÓN DE DOMINIO DE ANTIOQUIA ","NATALIA ECHEVERRI CARDONA","Calle 41#52-28 - Edificio Edatel Oficina 201","4-2328525 ext 3201","JUDICIAL"
"ORDINARIA","ANTIOQUIA","ANTIOQUIA (O)","ANTIOQUIA","ANTIOQUIA","050003120002","JUZGADO 002 PENAL DEL CIRCUITO ESPECIALIZADO  EN EXTINCIÓN DE DOMINIO DE ANTIOQUIA ","JOSE VICTOR ALDANA  ORTIZ","Calle 41#52-28 - Edificio Edatel Oficina 202","4-2328525 ext 3202","JUDICIAL"
"ORDINARIA","ANTIOQUIA","ANTIOQUIA (O)","ANTIOQUIA","ANTIOQUIA","050003121001","JUZGADO 001 CIVIL DEL CIRCUITO ESPECIALIZADO  EN RESTITUCIÓN DE TIERRAS DE ANTIOQUIA ","ALBA MARINA SANTOS GOMEZ","Calle 14#48-32 - Piso 6 Oficiona 601","N/A-6044017571","JUDICIAL"
"ORDINARIA","ANTIOQUIA","ANTIOQUIA (O)","ANTIOQUIA","ANTIOQUIA","050003121002","JUZGADO 002 CIVIL DEL CIRCUITO ESPECIALIZADO  EN RESTITUCIÓN DE TIERRAS DE ANTIOQUIA ","JHON JAIRO SANCHEZ  JIMENEZ","Calle 14#48-32 - Oficina 602","4-4017593","JUDICIAL"
"ORDINARIA","ANTIOQUIA","ANTIOQUIA (O)","ANTIOQUIA","ANTIOQUIA","050003121101","JUZGADO 101 CIVIL DEL CIRCUITO ESPECIALIZADO  EN RESTITUCIÓN DE TIERRAS DE ANTIOQUIA ","LUZ ADRIANA ARIAS ZAPATA","Calle 41#52-28 - Oficina 403","4-2328525 ext 2201","JUDICIAL"
