nombre_normalizado,nombre_oficial,tipo,fuente,municipio,departamento,sector,estado
AGENCIA LOGISTICA DE GESTION INMOBILIARIA Y DE SERVICIOS,AGENCIA LOGISTICA DE GESTION INMOBILIARIA Y DE SERVICIOS,publica,gov,BOGOTÁ. D.C.,BOGOTÁ. D.C.,NO APLICA,ACTIVA
AGENCIA LOGISTICA DE LAS FUERZAS MILITARES,AGENCIA LOGISTICA DE LAS FUERZAS MILITARES,publica,gov,BOGOTÁ. D.C.,BOGOTÁ. D.C.,DEFENSA,ACTIVA
AGENCIA NACIONAL DE CONTRATACION PUBLICA COLOMBIA COMPRA EFICIENTE,AGENCIA NACIONAL DE CONTRATACION PUBLICA -COLOMBIA COMPRA EFICIENTE-,publica,gov,BOGOTÁ. D.C.,BOGOTÁ. D.C.,PLANEACIÓN,ACTIVA
AGENCIA NACIONAL DE DEFENSA JURIDICA DEL ESTADO,AGENCIA NACIONAL DE DEFENSA JURIDICA DEL ESTADO,publica,gov,BOGOTÁ. D.C.,BOGOTÁ. D.C.,JUSTICIA Y DEL DERECHO,ACTIVA
AGENCIA NACIONAL DE HIDROCARBUROS,AGENCIA NACIONAL DE HIDROCARBUROS,publica,gov,BOGOTÁ. D.C.,BOGOTÁ. D.C.,MINAS Y ENERGIA,ACTIVA
AGENCIA NACIONAL DE INFRAESTRUCTURA,AGENCIA NACIONAL DE INFRAESTRUCTURA.,publica,gov,BOGOTÁ. D.C.,BOGOTÁ. D.C.,TRANSPORTE,ACTIVA
AGENCIA NACIONAL DE MINERIA,AGENCIA NACIONAL DE MINERIA,publica,gov,BOGOTÁ. D.C.,BOGOTÁ. D.C.,MINAS Y ENERGIA,ACTIVA
AGENCIA NACIONAL DE SEGURIDAD VIAL,AGENCIA NACIONAL DE SEGURIDAD VIAL,publica,gov,BOGOTÁ. D.C.,BOGOTÁ. D.C.,TRANSPORTE,ACTIVA
AGENCIA NACIONAL DE TIERRAS,AGENCIA NACIONAL DE TIERRAS,publica,gov,BOGOTÁ. D.C.,BOGOTÁ. D.C.,AGROPECUARIO PESQUERO Y DE DESARROLLO RURAL,ACTIVA
AGENCIA NACIONAL DEL ESPECTRO,AGENCIA NACIONAL DEL ESPECTRO,publica,gov,BOGOTÁ. D.C.,BOGOTÁ. D.C.,TECNOLOGÍAS DE LA INFORMACION Y LAS COMUNICACIONES,ACTIVA
AGENCIA NACIONAL INMOBILIARIA VIRGILIO BARCO VARGAS,AGENCIA NACIONAL INMOBILIARIA VIRGILIO BARCO VARGAS,publica,gov,BOGOTÁ. D.C.,BOGOTÁ. D.C.,PRESIDENCIA DE LA REPÚBLICA,ACTIVA
AGENCIA PARA LA COOPERACION INTERNACIONAL DE MEDELLIN ACI,AGENCIA PARA LA COOPERACION INTERNACIONAL DE MEDELLIN - ACI,publica,gov,MEDELLÍN,ANTIOQUIA,NO APLICA,ACTIVA
AGENCIA PARA LA GESTION DEL PAISAJE EL PATRIMONIO Y LAS ALIANZAS PUBLICO PRIVADAS,"AGENCIA PARA LA GESTION DEL PAISAJE, EL PATRIMONIO Y LAS ALIANZAS PUBLICO PRIVADAS",publica,gov,MEDELLÍN,ANTIOQUIA,NO APLICA,ACTIVA
AGENCIA PARA LA INFRAESTRUCTURA DEL META,AGENCIA PARA LA INFRAESTRUCTURA DEL META,publica,gov,VILLAVICENCIO,META,NO APLICA,ACTIVA
AGENCIA PARA LA REINCORPORACION Y LA NORMALIZACION,AGENCIA PARA LA REINCORPORACION Y LA NORMALIZACION,publica,gov,BOGOTÁ. D.C.,BOGOTÁ. D.C.,PRESIDENCIA DE LA REPÚBLICA,ACTIVA
AGENCIA PRESIDENCIAL DE COOPERACION INTERNACIONAL DE COLOMBIA,AGENCIA PRESIDENCIAL DE COOPERACION INTERNACIONAL DE COLOMBIA,publica,gov,BOGOTÁ. D.C.,BOGOTÁ. D.C.,PRESIDENCIA DE LA REPÚBLICA,ACTIVA
AGENCIA REGIONAL DE MOVILIDAD,AGENCIA REGIONAL DE MOVILIDAD,publica,gov,BOGOTÁ. D.C.,BOGOTÁ. D.C.,NO APLICA,ACTIVA
AGROEMPRESARIAL SA,AGROEMPRESARIAL S.A.,publica,gov,PITALITO,HUILA,NO APLICA,ACTIVA
AGUA Y ASEO DEL MACIZO SAS,AGUA Y ASEO DEL MACIZO S.A.S,publica,gov,ISNOS,HUILA,NO APLICA,ACTIVA
AGUAS DE CIMITARRA SAS ESP,AGUAS DE CIMITARRA SAS -ESP,publica,gov,CIMITARRA,SANTANDER,NO APLICA,ACTIVA
AGUAS DE TOROBE SAS ESP,AGUAS DE TOROBE S.A.S E.S.P.,publica,gov,SAN ONOFRE,SUCRE,NO APLICA,ACTIVA
AGUAS LA CRISTALINA SA ESP,AGUAS LA CRISTALINA S.A. ESP,publica,gov,VILLAGARZÓN,PUTUMAYO,NO APLICA,ACTIVA
AGUAS PUBLICAS DE CANTAGALLO SA ESP,AGUAS PUBLICAS DE CANTAGALLO S.A ESP,publica,gov,CANTAGALLO,BOLÍVAR,NO APLICA,ACTIVA
AGUAS Y ASEO DE SUBACHOQUE SA,AGUAS Y ASEO DE SUBACHOQUE S.A,publica,gov,SUBACHOQUE,CUNDINAMARCA,NO APLICA,ACTIVA
ALCALDIA DE ABEJORRAL,ALCALDIA DE ABEJORRAL,publica,gov,ABEJORRAL,ANTIOQUIA,NO APLICA,ACTIVA
