nombre_normalizado,match,nombre_oficial,tipo,fuente,municipio,departamento,sector,estado
ALCADIA PIEDECUESTA,False,,,,,,,
ALCAIDIA DE MOSQUERA,False,,,,,,,
ALCAIDIA MUNICIPAL DE CIENAGA,False,,,,,,,
ALCAIDIA MUNICIPAL IBAGUE,False,,,,,,,
ALCAIDLA MUNICIPAL IBAGUE,False,,,,,,,
ALCAL,False,,,,,,,
ALCAL ALCALDIA DE BARRANQUILLA,False,,,,,,,
ALCALADIA DE GIRON,False,,,,,,,
ALCALADIA DE NEIVA,False,,,,,,,
ALCALD,False,,,,,,,
ALCALD MAYOR DE BOGOTA DC,False,,,,,,,
ALCALDA DE RIONEGRO,False,,,,,,,
ALCALDA DE SOACHA CUNDINAMARCA,False,,,,,,,
ALCALDA MUNICIPAL DE GIRON,False,,,,,,,
ALCALDA MUNICIPAL DE SAN VICENTE DE CHUCURI,False,,,,,,,
ALCALDADA DE CASTILLA LA NUEVA,False,,,,,,,
ALCALDADA DE ITAGUI,False,,,,,,,
ALCALDADA DE NEIVA,False,,,,,,,
ALCALDADA DE SINCELEJO,False,,,,,,,
ALCALDADA MAYOR DE BOGOTA,False,,,,,,,
ALCALDADA MUNICIPAL DE PUERTO COLOMBIA,False,,,,,,,
ALCALDAI DE MONTERIA SECRETATRIA DE TRANSPORTE T TRANSITO,False,,,,,,,
ALCALDDIA DE VALLEDUPAR,False,,,,,,,
ALCALDE DE GIRON,False,,,,,,,
ALCALDE DE PIEDECUESTA,False,,,,,,,
ALCALDI,False,,,,,,,
ALCALDI DE VILLAVICENCIO,False,,,,,,,
ALCALDI DISTRITAL DE CARTAGENA DE INDIAS,False,,,,,,,
ALCALDIA,False,,,,,,,
ALCALDIA ACACIAS,False,,,,,,,
ALCALDIA ADISTRITAL D DE CARTAGENA DE INDIAS,False,,,,,,,
ALCALDIA AE CALDAS ANTIOQUIA,False,,,,,,,
ALCALDIA AGUA,False,,,,,,,
ALCALDIA AGUAAZUL,False,,,,,,,
ALCALDIA AGUARUL,False,,,,,,,
ALCALDIA AGUAZUL,False,,,,,,,
ALCALDIA AGUAZUL AUTO DE EMBARGO,False,,,,,,,
ALCALDIA AGUOZUL,False,,,,,,,
ALCALDIA ALCALDIA DE BARRANQUILLA,False,,,,,,,
ALCALDIA ALCALDIA DISTRITAL DE CARTAGENA DE,False,,,,,,,
ALCALDIA ALCALDIA DISTRITAL DE CARTAGENA DE INDIAS,False,,,,,,,
ALCALDIA ALCALDIA DISTRITAL DI DE CARTAGENA DE INDIAS,False,,,,,,,
ALCALDIA ALCALDIA MAYOR DE CARTAGENA DE INDIAS,False,,,,,,,
ALCALDIA AMALFI,False,,,,,,,
ALCALDIA AQUAZUL,False,,,,,,,
ALCALDIA ARIGUANI,False,,,,,,,
ALCALDIA ATTO COBIERNO,False,,,,,,,
ALCALDIA BANCO MAGDALENA,False,,,,,,,
ALCALDIA BARBOSA ANTIOQUIA,False,,,,,,,
ALCALDIA BARRANCA DE UPIA,False,,,,,,,
ALCALDIA BARRANCABERMEJA,False,,,,,,,
ALCALDIA BARRANCAS,False,,,,,,,
ALCALDIA BARRANQUILLA,False,,,,,,,
ALCALDIA BE,False,,,,,,,
ALCALDIA BE ACACIAS,False,,,,,,,
ALCALDIA BISTRITAL DE CARTAGENA DE INDIAS,False,,,,,,,
ALCALDIA BOGOTA,False,,,,,,,
ALCALDIA BORENCIA,False,,,,,,,
ALCALDIA BUCARAMANGA,False,,,,,,,
ALCALDIA CARMEN DE BOLIVAR,False,,,,,,,
ALCALDIA CARTA,False,,,,,,,
ALCALDIA CARTAGENA,False,,,,,,,
ALCALDIA CARTAGENA DE INDIAS,False,,,,,,,
ALCALDIA CASANARE,False,,,,,,,
ALCALDIA CASTILLA,False,,,,,,,
ALCALDIA CASTILLA LA NUEVA,False,,,,,,,
